"TIMESTAMP","EQ_NAME","ATTR","VALUE","CALC_PROC"
"Feb 20 2015  5:41PM","CL_TB_H","QWAT","","PHD.OFI_18_6796B"
"Feb 20 2015  5:41PM","CL_TB_H","QLIQ","","PHD.OFI_18_6796C"
"Feb 20 2015  5:41PM","CL_TB_H","QGAS","","PHD.OFI_18_6796D"
"Feb 20 2015  5:41PM","CL_TB_H","WC","","PHD.OFFI_18_6796A"
"Feb 20 2015  5:41PM","CL_TB_H","GOR","","PHD.OFFI_18_6796B"
"Feb 20 2015  5:41PM","CL_TB_H","ROUTING","",""
"Feb 20 2015  5:41PM","CL_TB_I","EQUIPMENT_NAME","I",""
"Feb 20 2015  5:41PM","CL_TB_I","EQUIPMENT_DESC","Cluster I - Troll B",""
"Feb 20 2015  5:41PM","CL_TB_I","QOIL","","PHD.OFI_18_6896A"
"Feb 20 2015  5:41PM","CL_TB_I","QWAT","","PHD.OFI_18_6896B"
"Feb 20 2015  5:41PM","CL_TB_I","QLIQ","","PHD.OFI_18_6896C"
"Feb 20 2015  5:41PM","CL_TB_I","QGAS","","PHD.OFI_18_6896D"
"Feb 20 2015  5:41PM","CL_TB_I","WC","","PHD.OFFI_18_6896A"
"Feb 20 2015  5:41PM","CL_TB_I","GOR","","PHD.OFFI_18_6896B"
"Feb 20 2015  5:41PM","CL_TB_I","ROUTING","",""
"Feb 20 2015  5:41PM","CL_TB_J","EQUIPMENT_NAME","J",""
"Feb 20 2015  5:41PM","CL_TB_J","EQUIPMENT_DESC","Cluster J - Troll B",""
"Feb 20 2015  5:41PM","CL_TB_J","QOIL","","PHD.OFI_18_6996A"
"Feb 20 2015  5:41PM","CL_TB_J","QWAT","","PHD.OFI_18_6996B"
"Feb 20 2015  5:41PM","CL_TB_J","QLIQ","","PHD.OFI_18_6996C"
"Feb 20 2015  5:41PM","CL_TB_J","QGAS","","PHD.OFI_18_6996D"
"Feb 20 2015  5:41PM","CL_TB_J","WC","","PHD.OFFI_18_6996A"
"Feb 20 2015  5:41PM","CL_TB_J","GOR","","PHD.OFFI_18_6996B"
"Feb 20 2015  5:41PM","CL_TB_J","ROUTING","",""
"Feb 20 2015  5:41PM","CL_TB_K","EQUIPMENT_NAME","K",""
"Feb 20 2015  5:41PM","CL_TB_K","EQUIPMENT_DESC","Cluster K - Troll B",""
"Feb 20 2015  5:41PM","CL_TB_K","QOIL","","PHD.OFI_18_7096A"
"Feb 20 2015  5:41PM","CL_TB_K","QWAT","","PHD.OFI_18_7096B"
"Feb 20 2015  5:41PM","CL_TB_K","QLIQ","","PHD.OFI_18_7096C"
"Feb 20 2015  5:41PM","CL_TB_K","QGAS","","PHD.OFI_18_7096D"
"Feb 20 2015  5:41PM","CL_TB_K","WC","","PHD.OFFI_18_7096A"
"Feb 20 2015  5:41PM","CL_TB_K","GOR","","PHD.OFFI_18_7096B"
"Feb 20 2015  5:41PM","CL_TB_K","ROUTING","",""
"Feb 20 2015  5:41PM","CL_TB_L","EQUIPMENT_NAME","L",""
"Feb 20 2015  5:41PM","CL_TB_L","EQUIPMENT_DESC","Cluster L - Troll B",""
